length,percentage
1,0.01888405494234094
2,0.028003115679085054
3,0.02840207458631761
4,0.03155574975777495
5,0.03374052472595323
6,0.030586849554495886
7,0.023652563785930048
8,0.017896156695860328
9,0.01115185135930999
10,0.010771890495278985
11,0.008758097915914661
12,0.006725307293348785
13,0.006953283811767388
14,0.008150160533465053
15,0.010144955069627828
16,0.015293424777247943
17,0.020441894484868058
18,0.026407280050154833
19,0.034367460151604384
20,0.038167068791914435
21,0.043771491536371755
22,0.04570929194292988
23,0.047191139312650794
24,0.04732412561506165
25,0.04662119801660429
26,0.042308642209852386
27,0.03957292398882915
28,0.03611528012614701
29,0.031764728232992
30,0.02840207458631761
31,0.024716454205216863
32,0.021733761422573473
33,0.019662974713604498
34,0.015920360202899102
35,0.014343522617170432
36,0.012424720253813857
37,0.010144955069627828
38,0.008340140965480556
39,0.006991279898170488
40,0.0061743640405038285
41,0.005547428614852671
42,0.005034481448410814
43,0.0033436556034728425
44,0.0035146379922867945
45,0.0026407280050154834
46,0.0024697456162015314
47,0.002450747572999981
48,0.0019378004065581246
49,0.0015578395425271197
50,0.0015198434561240193
51,0.0011778786784961148
52,0.0010068962896821628
53,0.0011208845488914641
54,0.0008359139008682106
55,0.0008549119440697608
56,0.0006839295552558087
57,0.0003799608640310048
58,0.0005129471664418565
59,0.0004939491232403062
60,0.00045595303683720575
61,0.00026597260482170336
62,0.00026597260482170336
63,0.00030396869122480385
64,0.00045595303683720575
65,0.0002849706480232536
66,0.00015198434561240192
67,0.00013298630241085168
68,0.00017098238881395217
69,9.49902160077512e-05
70,0.00013298630241085168
71,0.00017098238881395217
72,9.49902160077512e-05
73,0.00015198434561240192
74,5.699412960465072e-05
75,1.899804320155024e-05
76,9.49902160077512e-05
78,3.799608640310048e-05
79,5.699412960465072e-05
80,5.699412960465072e-05
83,1.899804320155024e-05
84,3.799608640310048e-05
85,3.799608640310048e-05
86,1.899804320155024e-05
87,3.799608640310048e-05
110,1.899804320155024e-05
